LAND_USE;CLASS;TRANSPIRATION;WATER;SOIL;INTERCEPTION;AGRICULTURE;ENVIRONMENT;ECONOMY;ENERGY;LEISURE;NON_BENEFICIAL
PROTECTED;Forest;0.01916702518481262;0;0.009760984163696097;0.0025718072471295514;0.0;0.024588807946232413;0.0;0.0;0.004339201402276308;0.0025718072471295514
PROTECTED;Shrubland;0.003930012961480804;0;0.0019767775535073245;0.0005034619162927738;0.0;0.005020771937739909;0.0;0.0;0.0008860185772482193;0.0005034619162927738
PROTECTED;Natural grasslands;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PROTECTED;Natural water bodies;1.4923830852747727e-05;2.0163062679776976e-06;0;1.6797168034301014e-06;0.0;1.4399116552616612e-05;0.0;0.0;2.5410205681088136e-06;1.6797168034301014e-06
PROTECTED;Wetlands;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PROTECTED;Glaciers;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PROTECTED;Others;2.9721020744005318e-05;0;1.4551733993756796e-05;3.7547414996241833e-06;0.0;3.7631841527097795e-05;0.0;0.0;6.640913210664317e-06;3.7547414996241833e-06
UTILIZED;Forest;0.008246521994504314;0;0.003829395452267601;0.001638781570158566;0.0004123260997252157;0.007421869795053882;0.0;0.0;0.0004123260997252157;0.005468177022426167
UTILIZED;Shrubland;0.0020562747954546946;0;0.0012138533645156763;0.0003099523440096959;0.00010281373977273474;0.0017478335761364904;0.0;0.00020562747954546947;0.0;0.001523805708525372
UTILIZED;Natural grasslands;0.0002884522465300912;0;9.72965307850962e-05;2.9205938594758866e-05;1.442261232650456e-05;0.0002740296342035866;0.0;0.0;0.0;0.00012650246937985507
UTILIZED;Natural water bodies;0.0021040333979407636;0.0012382654992324832;0;8.184127547792804e-05;0.0001547831874040604;0.00024765309984649665;3.095663748081208e-05;0.0;0.00018573982488487246;0.0028050074230349335
UTILIZED;Wetlands;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
UTILIZED;Others;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MODIFIED;Rainfed crops;0.14531901508709316;0;0.09988508677598631;0.01493631316563896;0.13078711357838385;0.0;0.014531901508709314;0.0;0.0;0.11482139994162527
MODIFIED;Forest plantations;0.05409985438892555;0;0.02611876542300745;0.008433685925521808;0.048689868950032994;0.0;0.005409985438892555;0.0;0.0;0.03455245134852926
MODIFIED;Settlements;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MODIFIED;Others;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MANAGED CONVENTIONAL;Irrigated crops;0.15020306870551256;0;0.15949589840869943;0.009988312815822796;0.13518276183496128;0.0;0.015020306870551253;0.0;0.0;0.16948421122452223
MANAGED CONVENTIONAL;Managed water bodies;0.03422611817134883;0.008963705003046791;0;0.00015305305858612044;0.008067334502742112;0.0;0.0008963705003046792;0.0;0.0;0.03437917122993495
MANAGED CONVENTIONAL;Residential;0.04829420163095676;0;0.02708127479818883;0.0018164007048938802;0.007367498230303614;0.001227916371717269;0.027419623311763192;0.0;0.01227916371717269;0.028897675503082705
MANAGED CONVENTIONAL;Industry;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MANAGED CONVENTIONAL;Others;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MANAGED NON_CONVENTIONAL;Indoor domestic;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MANAGED NON_CONVENTIONAL;Indoor industry;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MANAGED NON_CONVENTIONAL;Greenhouses;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MANAGED NON_CONVENTIONAL;Livestock and husbandry;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MANAGED NON_CONVENTIONAL;Power and energy;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MANAGED NON_CONVENTIONAL;Others;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
