date,dS [mm]
2003-01-06,-38.306229853186828
2003-02-20,47.754734309702016
2003-03-15,26.797878029095301
2003-04-15,84.132032517728305
2003-05-07,87.276465036267439
2003-07-16,-35.389927679199957
2003-08-15,-76.635064148013001
2003-09-15,-102.81756083217091
2003-10-15,-58.713853867704287
2003-11-15,-56.1686703654022
2003-12-16,0.26690810454515912
2004-01-07,-12.472166711614127
2004-02-16,4.2446390469988335
2004-03-15,88.206660302817298
2004-04-15,77.509740511875307
2004-05-16,144.76888908337699
2004-06-15,46.013456056018924
2004-07-16,32.914888288237172
2004-08-16,-91.030974427642491
2004-09-15,-136.60865914288456
2004-10-15,-143.28136897693105
2004-11-15,-107.35545015879484
2004-12-16,-78.750310638015691
2005-01-16,-15.402897670774847
2005-02-14,-15.822850665215086
2005-03-15,-32.44697530977615
2005-04-15,75.459080395962559
2005-05-16,62.088762096322739
2005-06-15,31.604527802403378
2005-07-16,40.461968123374021
2005-08-15,-56.918295833767765
2005-09-15,-77.227420071434025
2005-10-15,-78.242515357356837
2005-11-15,13.392568834220342
2005-12-15,6.2078840422226564
2006-01-16,43.518326790247698
2006-02-14,41.016255866346683
2006-03-15,55.683219775887032
2006-04-15,121.76755603064899
2006-05-16,85.836416977334395
2006-06-15,45.799884214015528
2006-07-16,-14.645825703443428
2006-08-15,-70.658785968736709
2006-09-15,-161.18482347321401
2006-10-15,-186.62383567616018
2006-11-15,-199.38272589845377
2006-12-16,-179.32349536447927
2007-01-16,-64.623977005001962
2007-02-13,-37.383096290153198
2007-03-15,25.074438261565476
2007-04-15,79.295975458968016
2007-05-16,75.038093572297541
2007-06-15,5.7024518423054076
2007-07-16,3.7109799596678075
2007-08-15,-67.322963970918607
2007-09-15,-116.56540427516752
2007-10-17,-157.88293543383449
2007-11-15,-50.284611821718286
2007-12-16,-29.525658673422051
2008-01-16,35.323804939372209
2008-02-15,38.591545796430189
2008-03-15,80.359501324339277
2008-04-15,93.662204528703967
2008-05-16,22.326231976029263
2008-06-15,-58.393921078992051
2008-07-16,-94.089681716653629
2008-08-16,-86.058097627213797
2008-09-15,-102.47063391605367
2008-10-15,-123.83091339249273
2008-11-15,-25.801792388732878
2008-12-15,-21.646125929270351
2009-01-16,-40.437571241135153
2009-02-14,56.482824714548499
2009-03-15,46.144539216370397
2009-04-15,70.207758011594279
2009-05-16,51.653620203342321
2009-06-15,38.908481978052222
2009-07-15,-25.703168851932325
2009-08-15,-88.067650745697875
2009-09-15,-131.49789661829831
2009-10-15,-147.13969464704189
2009-11-15,-85.900107937039905
2009-12-16,-24.363323502588482
2010-01-16,26.027538510230407
2010-02-14,4.1911415539750836
2010-03-15,22.445895643367756
2010-04-15,77.116545900889946
2010-05-16,97.176819083639231
2010-06-15,78.815035219694451
2010-07-16,64.296292181537822
2010-08-15,32.245639874279831
2010-09-15,65.902743503572992
2010-10-15,84.291559840375498
2010-11-15,93.520408146412052
2010-12-14,127.01279877821304
2011-02-18,126.95489709986218
2011-03-15,111.67058913429456
2011-04-15,148.12768007401172
2011-05-16,126.51299333769285
2011-07-18,42.028634764293855
2011-08-15,-62.516682433888974
2011-09-15,-132.3690387474048
2011-10-15,-142.5579941820024
2011-10-30,-118.29105195121114
2011-12-29,34.95576387159241
2012-01-16,78.148488627684742
2012-02-15,28.090004634741685
2012-03-15,137.91472279538382
2012-04-03,141.63570483217941
2012-06-15,28.038724163126677
2012-07-16,-91.670521981783665
2012-08-16,-131.61581001504697
2012-09-13,-166.63726467127046
2012-11-18,-65.867184649240372
2012-12-16,-21.448994127236478
2013-01-16,52.818433036428445
2013-02-13,70.025462631871221
2013-04-20,149.17380697660798
2013-05-16,107.79619195191583
2013-06-15,135.23523331851038
2013-07-16,101.75945986961244
2013-10-16,-80.413693936387887
2013-11-15,-38.158064639117455
2013-12-16,54.913768694604457
2014-01-08,107.66407244612004
2014-03-16,22.017872743933737
2014-04-15,87.296683547095313
2014-05-16,148.65211715408267
2014-06-12,86.389871015159002
2014-08-16,-14.845737803804575
2014-09-15,-98.600633569312862
2014-10-15,-86.550145125917311
2014-11-15,-72.65073270846699
2015-01-21,65.593082839348241
2015-02-14,12.680402142220233
2015-03-16,42.782327649211787
2015-04-15,56.646758775534892
2015-04-25,80.196145333284989
2015-07-16,-27.139914773030323
2015-08-15,-111.89081819159281
2015-09-14,-151.72098536918242
2015-12-23,-46.425341554400681
2016-01-16,-85.936864826407174
2016-02-13,-128.65811750855823
2016-03-15,-44.956542158984838
2016-05-20,121.71307848503211
2016-06-15,138.28223784041273
2016-07-14,81.898329261005472
